subject_id,channel_index,chromophore,hrf_peak_s,beta_main,beta_comfort,beta_richness
P40,18,HbO,17,1.869848874648469e-6,9.49127374824621e-6,3.7207852524892715e-6
P40,19,HbO,17,7.740924624264513e-7,3.970806581847227e-6,1.3815196435394738e-6
P40,20,HbO,17,-7.994586520223652e-7,-2.349854752253045e-8,6.24573902009383e-9
P40,21,HbO,17,3.1257857565134285e-7,-8.875126958541831e-7,-2.149118724486874e-7
P40,22,HbO,17,-0.0020812805125455867,-9.405618935386889e-4,-0.0027837221531575823
P40,23,HbO,17,0.001124019318928115,0.001341837923162004,-0.0011515614733157687
P18,1,HbO,5,-0.005604603898504797,-0.007888061141962346,0.004041499488997708
P18,1,HbR,5,-0.0010459580436241083,-0.0016578347040857144,0.0015378626329982446
P18,2,HbO,5,-0.004784937247865874,-0.01945004588176486,0.010584580412204687
P18,2,HbR,5,-0.0021448200369681572,-0.002685742339820674,0.0013071140003378284
P18,3,HbO,5,-0.005453802546215242,-0.008934959268395501,0.00469976243637033
P18,3,HbR,5,-8.106223980253165e-4,-2.3456075076323755e-4,6.030456082650527e-4
P18,4,HbO,5,-0.005635847308451004,-0.01964791169329141,0.009927817304817914
P18,4,HbR,5,-6.869812673105263e-4,0.0015954773034328965,-4.965042967684397e-4
P18,5,HbO,5,-0.0021999688795819937,-0.006743469043331199,0.00337322406496956
P18,5,HbR,5,-8.344187736627111e-4,-4.953259695101584e-4,0.001323748580185296
P18,7,HbO,5,-0.0030061016549487885,-0.009346834545317538,0.006520398909105554
P18,7,HbR,5,1.798644273374553e-4,0.0014336668606679949,-7.88273937320488e-4
