subject_id,marker,roi,motion_correction,hpf,baseline_m10_0,stim_m0_30,response_m5_30,response_minus_baseline_m5_30
P11,M5,head,none,0,-0.2572846758317,-0.28803677721350168,-0.2784016349034264,-2.111695907172654e-2
P11,M6,Left_Temporal,none,0,-2.0028141472066891e-2,-3.3543110384521051e-2,-3.4550753574381251e-2,-1.452261210231434410e-2
P11,M6,PFC_Frontal,none,0,0.38609703221038782,0.30415766672045658,0.3231321396977106,-0.062964892512677256
P11,M6,Right_Temporal,none,0,-2.6832158414219291e-2,-3.733212142218108e-2,-0.038609361065842382,-1.1777202651623098e-2
P11,M6,head,none,0,0.23008667710428085,0.17478803524472031,0.18609892178615919,-0.04398775531812163
P12,M3,Left_Temporal,none,0,-0.21580855119558812,-0.26470347619208601,-0.27138281363826539,-5.557426244267723e-2
P12,M3,PFC_Frontal,none,0,-0.076170977388010735,-4.237016307474705e-1,-0.47294925972987295,-0.3967782823418623
P12,M3,Right_Temporal,none,0,-0.31706430634615879,-0.39044132497543854,-0.39929073264876241,-8.222642630260363e-2
P12,M3,head,none,0,-0.17130370307944209,-3.75637015665616352e-1,-0.40414301643669343,-0.23283931335725136
P12,M4,Left_Temporal,none,0,-0.15811987445949427,-0.23791510169326241,-0.24681487756396631,-0.088695003104472064
P12,M4,PFC_Frontal,none,0,0.12749277012454335,-0.15360141591420146,-0.20110115736235812,-0.32859392748690153
P12,M4,Right_Temporal,none,0,-0.21696666272792231,-0.35408801596055228,-0.37782111366126142,-0.16085445093333911
P12,M4,head,none,0,-3.0025249234582507e-2,-0.22480148737055439,-0.25670957648748599,-0.22668432725290355
P12,M5,Left_Temporal,none,0,-0.14081122604004451,-0.24785089418510117,-0.27904192872450884,-0.13823070268446425
P12,M5,PFC_Frontal,none,0,0.13352602945675512,-0.40549406072843713,-0.55324079254575709,-0.68676682200251227
P12,M5,Right_Temporal,none,0,-4.615073906786539e-1,-0.45948062492883368,-0.48065254634672255,-1.914515566806872e-2
P12,M5,head,none,0,-8.381663945129707e-2,-0.37957991014270226,-0.46654401504068638,-0.38272737558938935
P12,M6,Left_Temporal,none,0,-0.27821820830930233,-0.31160100154110776,-0.31329584011979772,-0.035077631810495412
P12,M6,PFC_Frontal,none,0,-9.2522793225900504e-2,-0.30817374719577706,-0.34542105437372206,-0.25289826114782155
P12,M6,Right_Temporal,none,0,-0.38460508807344002,-0.41319207187404328,-0.42739931030398032,-4.279422223054029e-2
P12,M6,head,none,0,-0.21196722070863577,-0.3352851419516763,-0.35788431479280552,-0.14591709408416964
P13,M3,Left_Temporal,none,0,3.301461538276468e-2,1.899930466455609e-2,1.7079668028482742e-2,-1.5934947354281934e-2
P13,M3,PFC_Frontal,none,0,0.32709301186046347,0.069274111148314083,2.690642105293336e-2,-0.30018659080753007
P13,M3,Right_Temporal,none,0,-0.19790495834232225,-0.70954953824417544,-0.74483293901709957,-0.54692798067477766
P13,M3,head,none,0,0.17107846582608549,-8.864940425668544e-2,-1.2196331477458714e-1,-0.29304178060067282
P13,M4,Left_Temporal,none,0,-1.3705996068370938e-2,-2.6917423223573374e-2,-2.8574043306753174e-2,-1.4868047238382222e-2
P13,M4,PFC_Frontal,none,0,0.08600834668963464,-3.8653708282968540e-2,-5.0002975314112684e-2,-0.1360113220037473
P13,M4,Right_Temporal,none,0,0.072467252286017025,0.13462963144286971,0.1735246152984716,1.010573630124546160e-1
P13,M4,head,none,0,0.064435882468373076,-3.4118749905430043e-3,-3.3445900531709051e-3,-0.067780472521544052
P13,M5,Left_Temporal,none,0,0.036006869540323561,2.478507082390763e-2,2.346156664419218e-2,-1.2545302896131411e-2
P13,M5,PFC_Frontal,none,0,1.3498919788910762e-1,0.01429158850307995,-5.528546250703981e-3,-0.14051774413981161
P13,M5,Right_Temporal,none,0,8.045274105115959e-1,-0.12386089590292312,-0.28252744072321062,-1.0870548512348064
P13,M5,head,none,0,0.24366650917933699,-1.00244118940962744e-2,-0.052768314170248812,-0.29643482334958582
P13,M6,Left_Temporal,none,0,-0.03188014923259154,-4.263740847558175e-2,-0.044398197397376923,-1.2518048164785383e-2
P13,M6,PFC_Frontal,none,0,1.1664477665323366e-1,1.23834545278549449e-1,0.10652953590070031,-1.0115240752533362e-2
P13,M6,Right_Temporal,none,0,0.27128480305686642,0.22269501127611119,0.27610000594740763,4.815202890541251e-3
P13,M6,head,none,0,0.11780955770424476,0.11095616665825062,0.11008053337662968,-7.729024327614775e-3
P14,M3,Left_Temporal,none,0,1.01400610910188361e-2,-3.7739691010905404e-3,-5.468112031399713e-3,-1.5608173122418542e-2
P14,M3,PFC_Frontal,none,0,9.607289309903806e-4,-0.10321919834630595,-0.120016919496054,-0.12097764842704442
P14,M3,Right_Temporal,none,0,0.044718521304213242,9.7009249262334601e-3,4.594631538720603e-3,-0.040123889765492672
P14,M3,head,none,0,7.499303319756754e-3,-0.0703970318449407,-0.082784375710361124,-0.090283679030117719
P14,M4,Left_Temporal,none,0,-8.222194039859958e-2,-0.093839710266230836,-9.5209376094452344e-2,-0.01298743569585278
P14,M4,PFC_Frontal,none,0,-0.4437223354805595,-0.53498135048914852,-0.53748052378603228,-0.093758188305472681
P14,M4,Right_Temporal,none,0,-0.24913208809006027,-0.28586659552412375,-0.29064176758314386,-4.150967949308361e-2
P14,M4,head,none,0,-0.34713380521167331,-0.41588682044590009,-4.183877815138166090e-1,-0.071253976302143335
P14,M5,Left_Temporal,none,0,3.030598482722280e-2,0.01755560678784366,0.01579769231199496,-1.4508292515227826e-2
P14,M5,PFC_Frontal,none,0,-0.15349522817939343,-0.12995347248781638,-1.2520938230785702e-1,0.028285845871536361
P14,M5,Right_Temporal,none,0,0.06082667742706882,2.9741470952024651e-2,2.67482560218316177e-2,-0.034078421405237272
P14,M5,head,none,0,-0.092240035377320326,-0.082088935436115243,-0.079528141511078815,1.2711893866241411e-2
P14,M6,Left_Temporal,none,0,-1.8254299757816966e-2,-3.1143004386410395e-2,-0.032814544376110963,-1.4560244618293983e-2
P14,M6,PFC_Frontal,none,0,-1.13752985862714825e-1,-0.13856581920907418,-0.15610728327118606,-4.2354297408471253e-2
P14,M6,Right_Temporal,none,0,-5.1452372574118100e-2,-0.075241756713352842,-0.078229879441914771,-2.6777506867796702e-2
P14,M6,head,none,0,-8.709004002077868e-2,-0.10928479898370068,-0.12195329573229968,-0.034863255711520831
P15,M3,Left_Temporal,none,0,-3.184932816817210e-2,-0.1161966351827816,-0.14685442533603851,-0.11500509716786658
P15,M3,PFC_Frontal,none,0,-0.12116712394552466,-0.43408368806548392,-0.51218288992684868,-0.39101576598132393
P15,M3,Right_Temporal,none,0,-4.40548278458552032e-1,-0.42768033908395264,-0.42570854988197426,1.483972857657780e-2
P15,M3,head,none,0,-0.16498871608565316,-0.37231408771039182,-0.42612521285338495,-0.26113649676773171
P15,M4,Left_Temporal,none,0,0.22521333241837443,2.6534317559015622e-2,-1.971149144019091e-2,-0.24492482385856523
P15,M4,PFC_Frontal,none,0,0.86794312855436706,0.18352583018423396,0.047547397013604983,-0.82039573154076195
P15,M4,Right_Temporal,none,0,-2.46253187856184657e-1,-4.006953551879621e-1,-0.42920008925179431,-0.1829469013956096
P15,M4,head,none,0,0.5332905356883586,4.2342459137107452e-2,-0.056072864837670162,-0.58936340052602887
